Kreise_Code,EU_Code,year,gva,wrk,gvapw_GI,ln_gvapw_GI,ln_gvapw_GI.d1
7336,DEB3G,2001.0,89.7,4.28,20.957943925233643,3.042517759471045,0.09747400254199201
7336,DEB3G,2002.0,91.3,4.22,21.635071090047393,3.0743156595530023,0.031797900081957486
7336,DEB3G,2003.0,93.7,4.21,22.256532066508314,3.1026355415500864,0.028319881997084018
7336,DEB3G,2004.0,94.7,4.22,22.440758293838865,3.110878872144112,0.00824333059402571
7336,DEB3G,2005.0,90.9,4.08,22.279411764705884,3.103663012767363,-0.00721585937674929
7336,DEB3G,2006.0,95.2,4.07,23.39066339066339,3.1523369423428163,0.04867392957545347
7336,DEB3G,2007.0,93.0,4.11,22.62773722627737,3.1191764646451126,-0.033160477697703694
7336,DEB3G,2008.0,95.2,4.09,23.276283618581907,3.147434971742609,0.028258507097496555
7336,DEB3G,2009.0,90.3,4.16,21.706730769230766,3.0776223861497676,-0.06981258559284154
7336,DEB3G,2010.0,90.4,4.06,22.26600985221675,3.1030612937844895,0.025438907634721897
7336,DEB3G,2011.0,92.3,4.06,22.733990147783253,3.123861167895165,0.02079987411067563
7336,DEB3G,2012.0,95.0,4.09,23.227383863080686,3.1453319215458304,0.02147075365066531
7336,DEB3G,2013.0,100.2,4.14,24.20289855072464,3.1864724008135417,0.04114047926771125
7336,DEB3G,2014.0,104.4,4.14,25.217391304347828,3.2275338876113153,0.04106148679777366
7336,DEB3G,2015.0,116.3,4.14,28.09178743961353,3.3354772716873957,0.1079433840760804
7336,DEB3G,2016.0,123.6,4.28,28.878504672897193,3.3630975354298847,0.027620263742488937
7336,DEB3G,2017.0,123.6,4.05,30.51851851851852,3.4183336639051425,0.05523612847525783
7336,DEB3G,2018.0,123.8,4.15,29.831325301204817,3.3955590260078887,-0.022774637897253758
7336,DEB3G,2019.0,132.7,4.17,31.822541966426858,3.4601749055274515,0.06461587951956282
7337,DEB3H,1995.0,201.1,6.87,29.272197962154294,3.3766381905443486,
7337,DEB3H,1996.0,200.2,6.94,28.847262247838614,3.362015092362407,-0.014623098181941518
7337,DEB3H,1997.0,204.1,7.23,28.229598893499308,3.3403710336451256,-0.021644058717281478
7337,DEB3H,1998.0,210.5,7.45,28.25503355704698,3.341271620730968,0.000900587085842286
7337,DEB3H,1999.0,213.8,7.58,28.20580474934037,3.3395277989366647,-0.001743821794303102
7337,DEB3H,2000.0,221.1,7.76,28.492268041237114,3.3496327536682733,0.01010495473160855
7337,DEB3H,2001.0,235.7,7.66,30.770234986945166,3.4265478261895854,0.07691507252131213
7337,DEB3H,2002.0,239.2,7.61,31.4323258869908,3.447836850202882,0.021289024013296576
7337,DEB3H,2003.0,235.9,7.33,32.18281036834925,3.471432470515069,0.023595620312187204
7337,DEB3H,2004.0,241.4,7.49,32.22963951935915,3.4728865111343032,0.0014540406192340427
7337,DEB3H,2005.0,239.1,7.6,31.460526315789476,3.4487336271719937,-0.024152883962309524
7337,DEB3H,2006.0,250.8,7.59,33.04347826086957,3.4978242173512273,0.04909059017923356
7337,DEB3H,2007.0,247.0,7.61,32.45729303547963,3.4799251647543827,-0.017899052596844545
7337,DEB3H,2008.0,255.2,7.64,33.403141361256544,3.508649948292206,0.02872478353782304
7337,DEB3H,2009.0,234.4,7.87,29.783989834815756,3.3939709952735457,-0.11467895301866005
7337,DEB3H,2010.0,232.4,7.77,29.909909909909913,3.3981898605982,0.0042188653246544305
7337,DEB3H,2011.0,242.7,7.91,30.6826801517067,3.423698330952993,0.025508470354792756
7337,DEB3H,2012.0,246.9,8.04,30.7089552238806,3.424554313160259,0.0008559822072662371
7337,DEB3H,2013.0,252.1,8.22,30.669099756690994,3.4232556251257855,-0.0012986880344736385
7337,DEB3H,2014.0,283.0,8.76,32.305936073059364,3.4752509926949378,0.05199536756915224
7337,DEB3H,2015.0,303.9,8.82,34.455782312925166,3.5396768299040473,0.06442583720910955
7337,DEB3H,2016.0,321.6,8.97,35.852842809364546,3.5794228612341064,0.03974603133005905
7337,DEB3H,2017.0,333.7,9.04,36.913716814159294,3.6085832113532432,0.02916035011913687
7337,DEB3H,2018.0,344.5,9.17,37.56815703380589,3.6261568041853396,0.017573592832096363
7337,DEB3H,2019.0,364.5,9.16,39.79257641921397,3.683680372762674,0.057523568577334316
7338,DEB3I,1995.0,300.0,8.05,37.26708074534161,3.618110383225729,
7338,DEB3I,1996.0,298.7,8.23,36.29404617253949,3.5916537105330857,-0.0264566726926434
7338,DEB3I,1997.0,304.5,8.53,35.69753810082064,3.5750817256463643,-0.016571984886721403
7338,DEB3I,1998.0,314.1,8.88,35.37162162162162,3.5659098495405224,-0.009171876105841914
7338,DEB3I,1999.0,319.0,9.13,34.93975903614457,3.5536254081779672,-0.012284441362555132
7338,DEB3I,2000.0,329.8,9.71,33.96498455200824,3.525330127822265,-0.028295280355702168
7338,DEB3I,2001.0,349.4,9.55,36.58638743455497,3.599676243207317,0.07434611538505198
7338,DEB3I,2002.0,354.6,9.53,37.208814270724034,3.6165456759739967,0.016869432766679626
7338,DEB3I,2003.0,356.5,9.39,37.96592119275825,3.636688946634179,0.02014327066018229
7338,DEB3I,2004.0,376.0,9.74,38.60369609856263,3.653348025735451,0.016659079101271956
7338,DEB3I,2005.0,371.3,9.71,38.238928939237894,3.6438540788798006,-0.009493946855650304
7338,DEB3I,2006.0,396.2,9.89,40.060667340748225,3.6903949886298295,0.04654090975002889
7338,DEB3I,2007.0,392.6,10.02,39.18163672654691,3.668208186185642,-0.02218680244418758
7338,DEB3I,2008.0,411.2,10.11,40.67260138476756,3.7055546811085756,0.037346494922933626
7338,DEB3I,2009.0,367.3,9.94,36.95171026156942,3.609611932157139,-0.0959427489514364
