Kreise_Code,EU_Code,year,gva,wrk,gvapw_BE,ln_gvapw_BE,ln_gvapw_BE.d1
5754,DEA42,2018.0,6443.5,77.87,82.74688583536663,4.415786380139551,0.025371797405245644
5754,DEA42,2019.0,6772.9,79.63,85.05462765289464,4.443293728330427,0.02750734819087608
5758,DEA43,1995.0,2478.6,44.16,56.12771739130435,4.027629761661934,
5758,DEA43,1996.0,2423.1,43.7,55.44851258581235,4.015454889014816,-0.012174872647118029
5758,DEA43,1997.0,2498.1,42.67,58.54464494961331,4.0697896247099745,0.0543347356951589
5758,DEA43,1998.0,2525.4,42.91,58.85341412258216,4.075049846001146,0.005260221291171874
5758,DEA43,1999.0,2545.6,42.38,60.066068900424725,4.095445104743369,0.02039525874222292
5758,DEA43,2000.0,2691.6,43.11,62.43562978427279,4.13413610255512,0.03869099781175045
5758,DEA43,2001.0,2607.5,43.56,59.85996326905418,4.092007888810167,-0.04212821374495235
5758,DEA43,2002.0,2669.7,41.73,63.97555715312725,4.158501090927465,0.06649320211729748
5758,DEA43,2003.0,2731.9,40.58,67.32134056185313,4.209477282402014,0.05097619147454946
5758,DEA43,2004.0,2724.4,39.12,69.64212678936606,4.243369654200547,0.03389237179853222
5758,DEA43,2005.0,2696.6,38.14,70.70267435762977,4.258483399027701,0.015113744827154107
5758,DEA43,2006.0,2552.9,36.9,69.18428184281844,4.236773695823467,-0.021709703204233932
5758,DEA43,2007.0,2569.8,37.36,68.78479657387581,4.230982740488739,-0.005790955334727954
5758,DEA43,2008.0,2482.2,37.67,65.89328378019644,4.188036520991471,-0.04294621949726807
5758,DEA43,2009.0,2174.6,36.01,60.38878089419606,4.100803340902865,-0.0872331800886057
5758,DEA43,2010.0,2315.4,34.84,66.4580941446613,4.196571585787326,0.09576824488446078
5758,DEA43,2011.0,2310.2,35.38,65.2967778405879,4.17894269112294,-0.01762889466438544
5758,DEA43,2012.0,2426.2,36.53,66.41664385436627,4.195947685529628,0.01700499440668768
5758,DEA43,2013.0,2561.3,37.57,68.17407505988821,4.2220643614945965,0.026116675964968472
5758,DEA43,2014.0,2568.6,37.68,68.1687898089172,4.221986832670793,-7.752882380351878e-05
5758,DEA43,2015.0,2592.7,37.48,69.17556029882604,4.236647625370234,0.014660792699441316
5758,DEA43,2016.0,2615.9,37.63,69.51634334307732,4.241561880941405,0.004914255571170756
5758,DEA43,2017.0,2654.7,38.11,69.65888218315402,4.243610218055645,0.0020483371142399065
5758,DEA43,2018.0,2690.5,38.95,69.0757381258023,4.235203556612717,-0.008406661442927899
5758,DEA43,2019.0,2777.9,39.98,69.48224112056029,4.241071196473893,0.005867639861175888
5762,DEA44,1995.0,722.9,15.25,47.40327868852459,3.858691396952831,
5762,DEA44,1996.0,706.7,14.81,47.71775827143822,3.865303619417101,0.006612222464270179
5762,DEA44,1997.0,728.6,14.65,49.73378839590444,3.9066845491113873,0.041380929694286195
5762,DEA44,1998.0,736.5,14.85,49.5959595959596,3.9039093706539765,-0.0027751784574108207
5762,DEA44,1999.0,742.4,14.63,50.74504442925495,3.926813966439958,0.022904595785981474
5762,DEA44,2000.0,785.0,14.5,54.13793103448276,3.99153506835588,0.06472110191592195
5762,DEA44,2001.0,759.1,14.2,53.45774647887325,3.9788915564155074,-0.012643511940372498
5762,DEA44,2002.0,682.0,13.78,49.49201741654572,3.9018113922579496,-0.0770801641575578
5762,DEA44,2003.0,722.1,13.47,53.60801781737194,3.9816986430348633,0.07988725077691372
5762,DEA44,2004.0,745.2,13.29,56.07223476297969,4.02664076600228,0.04494212296741651
5762,DEA44,2005.0,714.4,13.36,53.47305389221557,3.9791778614537896,-0.047462904548490226
5762,DEA44,2006.0,756.7,13.21,57.28236184708554,4.047992755166242,0.06881489371245264
5762,DEA44,2007.0,803.8,13.61,59.059515062454075,4.078545665351726,0.03055291018548356
5762,DEA44,2008.0,717.9,13.76,52.172965116279066,3.9545644510772395,-0.12398121427448627
5762,DEA44,2009.0,608.3,13.27,45.84024114544084,3.8251623329825435,-0.12940211809469604
5762,DEA44,2010.0,665.3,13.35,49.83520599250936,3.908721681901583,0.0835593489190396
5762,DEA44,2011.0,735.0,13.31,55.221637866265965,4.011354866805816,0.10263318490423323
5762,DEA44,2012.0,750.4,13.45,55.79182156133829,4.021627291644167,0.01027242483835078
5762,DEA44,2013.0,741.4,13.26,55.912518853695325,4.023788305958916,0.002161014314748577
5762,DEA44,2014.0,746.4,13.38,55.784753363228695,4.021500594833052,-0.0022877111258639005
5762,DEA44,2015.0,772.4,13.43,57.513030528667166,4.052011540019214,0.03051094518616182
5762,DEA44,2016.0,801.7,13.15,60.96577946768061,4.110312714425133,0.0583011744059192
5762,DEA44,2017.0,854.8,13.41,63.7434750186428,4.154866826151405,0.04455411172627244
5762,DEA44,2018.0,859.0,13.64,62.976539589442815,4.142762269568939,-0.01210455658246623
5762,DEA44,2019.0,804.9,13.64,59.010263929618766,4.077711393684372,-0.06505087588456693
5766,DEA45,1995.0,2548.5,46.63,54.65365644434913,4.001016118959867,
5766,DEA45,1996.0,2491.5,45.66,54.56636005256242,3.99941757661981,-0.0015985423400568521
5766,DEA45,1997.0,2568.6,44.87,57.24537552930689,4.047346862391064,0.04792928577125366
5766,DEA45,1998.0,2596.6,45.37,57.231650870619355,4.047107082250281,-0.00023978014078274157
5766,DEA45,1999.0,2617.4,44.8,58.424107142857146,4.067728598200441,0.020621515950160152
5766,DEA45,2000.0,2767.6,44.79,61.79057825407457,4.123750897405447,0.05602229920500612
5766,DEA45,2001.0,2676.0,44.67,59.905977165883144,4.092776285884092,-0.030974611521354944
5766,DEA45,2002.0,2546.1,42.49,59.92233466698046,4.093049301517021,0.000273015632928697
5766,DEA45,2003.0,2375.7,40.55,58.5869297163995,4.070511629323055,-0.022537672193966074
5766,DEA45,2004.0,2386.1,39.12,60.99437627811861,4.110781667761363,0.04027003843830812
5766,DEA45,2005.0,2478.1,38.01,65.19600105235465,4.1773981334987855,0.06661646573742264
5766,DEA45,2006.0,2666.6,37.48,71.14727854855923,4.2647520743111365,0.08735394081235093
5766,DEA45,2007.0,2829.9,38.18,74.11995809324254,4.305684836026316,0.040932761715179566
5766,DEA45,2008.0,2695.7,38.34,70.31038080333853,4.252919452258678,-0.05276538376763806
