Kreise_Code,EU_Code,year,gva,wrk,gvapw_F,ln_gvapw_F,ln_gvapw_F.d1
3456,DE94B,2017.0,380.1,5.43,70.00000000000001,4.248495242049359,-0.08006287079317431
3456,DE94B,2018.0,398.2,5.54,71.87725631768953,4.274959890870903,0.026464648821543868
3456,DE94B,2019.0,380.4,5.58,68.17204301075269,4.222034554278015,-0.052925336592887895
3457,DE94C,1995.0,331.4,5.16,64.22480620155038,4.162389525498991,
3457,DE94C,1996.0,312.9,5.01,62.45508982035928,4.134447735578063,-0.027941789920927995
3457,DE94C,1997.0,306.4,4.91,62.40325865580447,4.1336174960600065,-0.000830239518056608
3457,DE94C,1998.0,296.3,4.8,61.72916666666667,4.122756536665674,-0.01086095939433207
3457,DE94C,1999.0,294.0,4.73,62.15644820295982,4.12965456483484,0.006898028169165293
3457,DE94C,2000.0,287.1,4.67,61.47751605995718,4.118671515446213,-0.010983049388626931
3457,DE94C,2001.0,262.2,4.49,58.396436525612465,4.067254869575437,-0.0514166458707761
3457,DE94C,2002.0,263.5,4.44,59.346846846846844,4.083398991537283,0.016144121961846558
3457,DE94C,2003.0,250.0,4.19,59.665871121718375,4.0887601839282,0.005361192390917147
3457,DE94C,2004.0,215.2,4.07,52.87469287469287,3.9679248288331257,-0.1208353550950747
3457,DE94C,2005.0,220.7,4.03,54.76426799007444,4.003037937304099,0.035113108470973486
3457,DE94C,2006.0,253.2,4.22,60.0,4.0943445622221,0.09130662491800123
3457,DE94C,2007.0,238.5,4.47,53.35570469798658,3.9769809017029187,-0.11736366051918168
3457,DE94C,2008.0,242.5,4.46,54.37219730941704,3.995852944345565,0.018872042642646303
3457,DE94C,2009.0,238.8,4.67,51.134903640256965,3.934467309837641,-0.061385634507924
3457,DE94C,2010.0,253.7,4.85,52.30927835051546,3.9571737616558442,0.022706451818203188
3457,DE94C,2011.0,289.2,5.14,56.264591439688715,4.030065410817536,0.07289164916169177
3457,DE94C,2012.0,288.9,5.22,55.3448275862069,4.013583205577643,-0.01648220523989341
3457,DE94C,2013.0,299.0,5.32,56.20300751879699,4.028970270037133,0.015387064459490674
3457,DE94C,2014.0,304.3,5.52,55.126811594202906,4.009636196613922,-0.01933407342321125
3457,DE94C,2015.0,300.8,5.79,51.95164075993092,3.950313300490781,-0.0593228961231409
3457,DE94C,2016.0,317.0,5.77,54.93934142114385,4.006229693357272,0.055916392866491194
3457,DE94C,2017.0,304.0,5.71,53.239929947460595,3.9748086777383027,-0.031421015618969594
3457,DE94C,2018.0,284.0,5.91,48.05414551607445,3.872328406743199,-0.1024802709951036
3457,DE94C,2019.0,349.5,5.99,58.347245409015024,4.066412149546507,0.1940837428033082
3458,DE94D,1995.0,313.6,3.92,80.00000000000001,4.382026634673882,
3458,DE94D,1996.0,296.1,4.11,72.04379562043796,4.277274206599403,-0.10475242807447938
3458,DE94D,1997.0,289.9,3.96,73.2070707070707,4.2932920106612205,0.016017804061817742
3458,DE94D,1998.0,280.4,3.88,72.2680412371134,4.280382001525253,-0.012910009135967293
3458,DE94D,1999.0,278.2,3.93,70.78880407124682,4.259700853608172,-0.020681147917080978
3458,DE94D,2000.0,271.7,3.94,68.95939086294416,4.233517793122459,-0.02618306048571295
3458,DE94D,2001.0,260.1,3.76,69.17553191489363,4.236647215052803,0.00312942193034349
3458,DE94D,2002.0,243.1,3.65,66.6027397260274,4.198745713727678,-0.03790150132512515
3458,DE94D,2003.0,228.2,3.45,66.14492753623188,4.191848206384707,-0.006897507342970677
3458,DE94D,2004.0,225.0,3.4,66.17647058823529,4.1923249705823045,0.00047676419759756783
3458,DE94D,2005.0,220.8,3.26,67.73006134969326,4.215530119024324,0.023205148442019485
