,1991-2005_hotdays,2011-2020_colddays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays
3458,10.111334185070268,10.467032967032967,10.257346231064062,10.080497621661179,10.153677277716795,10.073911853271284,10.375034218450589,10.049288061336254,10.405257393209201,10.054945054945055
3459,10.111334185070268,10.539282781275665,10.184340208067166,10.147837196568718,10.184340208067166,10.046537092800438,10.347659457979743,10.076670317634173,10.323110624315444,10.101286613742129
3460,10.167944505293903,10.729967069154775,10.36874771814531,10.347349177330896,10.36563071297989,10.076670317634173,10.487404162102957,10.15881708652793,10.542168674698795,10.208562019758507
3462,10.182555780933063,,10.304259634888439,,,10.073911853271284,10.402408978921434,10.806577916992952,11.198120595144871,
5111,10.166088702317941,10.435497124075596,10.403358277057857,10.31586635019171,10.334124520723023,10.156036134683822,10.347659457979743,10.15881708652793,10.514786418400876,10.1615995617639
5112,10.151147602164583,10.510344827586207,10.319089382347453,10.192525481313703,10.305775764439412,10.331163317294084,10.38777243136145,10.117176336096028,10.431551871963418,10.289655172413793
5114,10.07483117357182,10.511908020804817,10.220843219565614,10.093082679321045,10.202591713816389,10.019162332329593,10.347659457979743,10.049288061336254,10.323110624315444,10.046537092800438
5119,10.10989010989011,10.480109739368999,10.2014652014652,10.21790880791064,10.47427211133492,10.0960219478738,10.397805212620028,10.300192784356927,10.300192784356927,10.178326474622772
5124,10.147837196568718,10.34672537149147,10.275597736813287,10.131916452913154,10.168559912055699,10.29290993703805,10.511908020804817,10.054794520547945,10.438356164383562,10.236653824986242
5158,10.312100748311735,10.702433628318584,10.49461580580398,10.404411764705882,10.330882352941176,10.29290993703805,10.511908020804817,10.164383561643836,10.684931506849315,10.232300884955752
5162,10.166088702317941,10.435497124075596,10.403358277057857,10.31586635019171,10.334124520723023,10.156036134683822,10.347659457979743,10.15881708652793,10.514786418400876,10.1615995617639
5170,10.265388868411353,10.510344827586207,10.394397346111315,10.196634907764038,10.399351307520778,10.23816041609636,10.648781823159048,10.256410256410257,10.288867250892567,10.289655172413793
5366,10.27850130234422,10.584041678091582,10.33860949709477,10.160818713450292,10.398391812865498,10.073911853271284,10.402408978921434,10.46474865633892,10.369901991779956,10.227584315876063
5378,10.129585690819493,10.529202083904579,10.312100748311735,10.359948839758816,10.359948839758816,10.101286613742129,10.320284697508896,10.131434830230011,10.569550930996714,10.419522895530573
5513,10.093082679321045,10.359002466429159,10.202591713816389,10.118721461187215,10.228310502283104,10.128661374212976,10.320284697508896,10.131434830230011,10.350492880613363,10.08495478213209
5554,10.248390064397425,10.510428100987925,10.193192272309108,10.438756855575868,10.36563071297989,10.183410895154667,10.56665754174651,10.144124168514413,10.282705099778271,10.345773874862788
5562,10.220843219565614,10.429783739392281,10.257346231064062,10.166088702317941,10.202591713816389,10.156036134683822,10.402408978921434,10.15881708652793,10.542168674698795,10.156036134683822
5566,10.293849242562512,10.377875136911282,10.257346231064062,10.222709017889741,10.167944505293903,10.156036134683822,10.484533260333972,10.268346111719605,10.815991237677984,10.268346111719605
5711,,10.472787245739417,,10.492253383016278,10.413806628750736,,,10.677618069815194,10.8145106091718,10.307861462341947
5754,10.278745644599303,10.472787245739417,10.627177700348431,10.492253383016278,10.413806628750736,10.265535176567205,10.457158499863127,10.67907995618839,10.569550930996714,10.307861462341947
5758,10.166088702317941,10.595662915179798,10.275597736813287,10.148107515085025,10.367526055951728,10.046537092800438,10.429783739392281,10.049288061336254,10.46002190580504,10.21136426022509
5762,10.265970668655232,10.484533260333972,10.39025602783992,10.133284644878584,10.24283366806646,10.48421052631579,10.652631578947368,10.16705069124424,10.16705069124424,10.128661374212976
5766,10.147837196568718,10.595662915179798,10.275597736813287,10.129822636679465,10.312671420735052,10.073911853271284,10.429783739392281,10.076670317634173,10.377875136911282,10.21136426022509
5911,10.94890510948905,10.408525754884547,11.313868613138686,10.255754475703325,10.358056265984654,10.94890510948905,11.313868613138686,11.050228310502282,11.050228310502282,10.19538188277087
5913,10.219213410702773,10.665200659703133,10.606060606060606,10.28728348119983,10.371778622729193,10.219213410702773,10.606060606060606,10.675182481751825,11.040145985401459,10.197910940076966
5914,10.293849242562512,10.833104206763815,10.476364300054755,10.25689105569098,10.406900431276954,10.23816041609636,10.484533260333972,10.30664395229983,10.420215786484953,10.283200439923014
5916,10.220843219565614,10.429783739392281,10.257346231064062,10.166088702317941,10.202591713816389,10.183410895154667,10.402408978921434,10.15881708652793,10.542168674698795,10.156036134683822
5962,10.111334185070268,10.511908020804817,10.312100748311735,10.131434830230011,10.204454180357795,10.046537092800438,10.429783739392281,10.13420980553273,10.627225417693783,10.073911853271284
5966,10.338517840805123,10.569550930996714,10.567246111619395,10.30058651026393,10.245601173020528,10.240963855421686,11.007667031763416,10.397412199630315,10.674676524953789,10.131434830230011
5974,10.293849242562512,10.347659457979743,10.476364300054755,10.166088702317941,10.184340208067166,10.156036134683822,10.703531344100739,10.076670317634173,10.350492880613363,10.073911853271284
5978,10.318504869702553,10.552486187845304,10.37115030271124,10.391760161853963,10.336582674268898,10.219213410702773,10.606060606060606,10.461416070007955,10.501193317422434,10.58011049723757
6411,10.140845070422536,10.575858250276855,10.347417840375586,10.27951452739978,10.261125413755057,10.2,10.342857142857143,10.298548342919748,10.599835661462613,10.326688815060908
6412,10.114433370247324,10.375034218450589,10.151347360649686,10.129585690819493,10.257346231064062,10.050111358574611,10.412026726057906,10.213581599123767,10.46002190580504,10.128661374212976
6413,10.114433370247324,10.375034218450589,10.151347360649686,10.129585690819493,10.312100748311735,10.050111358574611,10.384187082405345,10.213581599123767,10.46002190580504,10.156036134683822
6414,10.220843219565614,10.501653803748622,10.293849242562512,10.157682434910157,10.231023102310232,10.265535176567205,10.429783739392281,10.021905805038335,10.405257393209201,10.226019845644984
6432,10.202591713816389,10.429783739392281,10.239094725314839,10.147837196568718,10.366855265559408,10.128661374212976,10.320284697508896,10.131434830230011,10.43263964950712,10.183410895154667
6433,10.184340208067166,10.484533260333972,10.202591713816389,10.202591713816389,10.275597736813287,10.046537092800438,10.375034218450589,10.240963855421686,10.651697699890471,10.101286613742129
6438,10.132890365448505,10.375034218450589,10.169804355850868,10.129585690819493,10.257346231064062,10.022271714922049,10.328507795100222,10.213581599123767,10.46002190580504,10.183410895154667
6531,10.166088702317941,10.363836824696802,10.147837196568718,10.249358269160249,10.34103410341034,10.128661374212976,10.429783739392281,10.240963855421686,10.651697699890471,10.19845644983462
7111,10.111334185070268,10.467769537934968,10.184340208067166,10.153903903903904,10.304054054054054,10.101286613742129,10.320284697508896,10.115131578947368,10.334429824561404,10.182544209925842
7133,10.093082679321045,10.402408978921434,10.239094725314839,10.111334185070268,10.184340208067166,10.156036134683822,10.375034218450589,10.049288061336254,10.323110624315444,10.156036134683822
7134,10.096768303815958,10.494338580502623,10.151542815409895,10.402065658428624,10.383622279601623,10.019162332329593,10.320284697508896,10.096551724137932,10.317241379310344,10.383871858602596
7138,10.111334185070268,10.524814603536795,10.184340208067166,10.266516516516516,10.266516516516516,10.101286613742129,10.320284697508896,10.087719298245615,10.389254385964913,10.296634341129492
7140,10.147837196568718,10.375034218450589,10.184340208067166,10.184340208067166,10.275597736813287,10.073911853271284,10.375034218450589,10.104052573932092,10.377875136911282,10.073911853271284
7211,10.07483117357182,10.402408978921434,10.257346231064062,10.166088702317941,10.202591713816389,10.073911853271284,10.347659457979743,10.18619934282585,10.350492880613363,10.046537092800438
7232,10.360075805432723,10.558831788823364,10.444304064013476,10.370508285235523,10.370508285235523,10.247052217855138,10.499719258843346,10.11011011011011,10.377043710377043,10.334175793316485
7233,10.323176361957525,10.479622955364569,10.3601108033241,10.473035155531015,10.325786858089453,10.197826692672054,10.36500417943717,10.295728368017524,10.43263964950712,10.313279733850846
7311,10.174188440221695,10.507544581618657,10.372129849564528,10.290623286419303,10.235788704076038,10.183410895154667,10.56665754174651,10.2015503875969,10.263565891472869,10.2880658436214
7312,10.523613963039015,10.657534246575343,10.523613963039015,10.376324442820607,10.449397150164414,10.53593179049939,10.962241169305726,10.51643192488263,10.51643192488263,10.219178082191782
7314,10.366855265559408,10.503161946659334,10.421609782807082,10.214168039538714,10.250777960827385,10.347659457979743,10.539282781275665,10.15881708652793,10.405257393209201,10.310695628265053
7316,10.147837196568718,10.588885816975393,10.220843219565614,10.183823529411764,10.294117647058824,10.210785655625513,10.375034218450589,10.139764318991505,10.386407234858865,10.20182471661598
7318,10.407157202848275,10.67907995618839,10.51670622603615,10.445580715850985,10.427319211102995,10.539282781275665,10.676156583629894,10.25219298245614,10.69078947368421,10.377875136911282
7319,10.174188440221695,10.507544581618657,10.372129849564528,10.290623286419303,10.235788704076038,10.183410895154667,10.56665754174651,10.2015503875969,10.263565891472869,10.2880658436214
7332,10.07483117357182,10.375034218450589,10.239094725314839,10.111334185070268,10.202591713816389,10.101286613742129,10.375034218450589,10.076670317634173,10.377875136911282,10.073911853271284
7335,10.523613963039015,10.657534246575343,10.523613963039015,10.376324442820607,10.449397150164414,10.53593179049939,10.962241169305726,10.51643192488263,10.51643192488263,10.219178082191782
7336,10.227062949972309,,10.245523352409082,,,10.128661374212976,10.429783739392281,10.657596371882086,10.714285714285714,
7338,10.184340208067166,10.569777043765484,10.184340208067166,10.40483605055871,10.496427917200952,10.073911853271284,10.375034218450589,10.15881708652793,10.46002190580504,10.211946050096339
7340,10.384688269850294,10.315907184791724,10.289937464468448,10.383120488617434,10.420136960947621,10.23816041609636,10.56665754174651,10.26086956521739,10.579710144927537,10.455689124965055
8111,10.111334185070268,10.320284697508896,10.202591713816389,10.129585690819493,10.166088702317941,10.046537092800438,10.484533260333972,10.021905805038335,10.350492880613363,10.073911853271284
8115,10.32659996224278,10.635964912280702,10.402114404379837,10.376324442820607,10.41286079649251,10.101286613742129,10.648781823159048,10.115273775216139,10.461095100864553,10.334429824561404
8116,10.093082679321045,10.347659457979743,10.202591713816389,10.129585690819493,10.166088702317941,10.046537092800438,10.457158499863127,10.076670317634173,10.350492880613363,10.128661374212976
8117,10.158150851581508,10.623112819105133,10.218978102189782,10.330956299140611,10.294386542329493,10.156036134683822,10.484533260333972,10.177133655394526,10.305958132045088,10.623112819105133
8119,10.08072085601652,10.429783739392281,10.287216069082035,10.129585690819493,10.220843219565614,10.156036134683822,10.375034218450589,10.085714285714285,10.342857142857143,10.101286613742129
8121,10.427807486631016,10.468621540147986,10.313216195569137,10.264840182648403,10.39269406392694,10.23816041609636,10.457158499863127,10.178938105016133,10.442945145203872,10.331597697999452
8125,10.147837196568718,10.468621540147986,10.166088702317941,10.264840182648403,10.39269406392694,10.128661374212976,10.511908020804817,10.131434830230011,10.405257393209201,10.331597697999452
8127,10.111334185070268,10.375034218450589,10.147837196568718,10.093082679321045,10.166088702317941,10.101286613742129,10.320284697508896,10.021905805038335,10.323110624315444,10.019162332329593
8128,10.147837196568718,10.621407062688201,10.257346231064062,10.220843219565614,10.366855265559408,10.073911853271284,10.484533260333972,10.104052573932092,10.43263964950712,10.156036134683822
8135,10.505606925044265,10.511908020804817,10.367892976588628,10.33035225406096,10.403358277057857,10.210785655625513,10.402408978921434,10.042997542997544,10.442260442260443,10.347659457979743
8212,10.220843219565614,10.660454919155933,10.257346231064062,10.195788695973402,10.23272995936461,10.101286613742129,10.429783739392281,10.192147034252297,10.359231411862991,10.167169087421211
8215,10.220843219565614,10.660454919155933,10.257346231064062,10.195788695973402,10.23272995936461,10.101286613742129,10.429783739392281,10.192147034252297,10.359231411862991,10.167169087421211
8216,10.239094725314839,10.484533260333972,10.403358277057857,10.184340208067166,10.184340208067166,10.375034218450589,10.429783739392281,10.131434830230011,10.46002190580504,10.156036134683822
8221,10.239094725314839,10.359989007969222,10.257346231064062,10.21043000914913,10.21043000914913,10.183410895154667,10.429783739392281,10.049288061336254,10.377875136911282,10.112668315471284
8222,10.366855265559408,10.503161946659334,10.421609782807082,10.214168039538714,10.250777960827385,10.347659457979743,10.539282781275665,10.15881708652793,10.405257393209201,10.310695628265053
8231,10.322941945118536,10.452674897119342,10.43494493186485,10.430009149130832,10.356816102470265,10.23816041609636,10.785655625513277,10.187287173666288,10.385925085130534,10.397805212620028
8311,10.228728270814273,10.60022026431718,10.375114364135408,10.308143800440206,10.253118121790168,10.23816041609636,10.511908020804817,10.269823788546255,10.269823788546255,10.379955947136564
8316,10.093082679321045,10.402408978921434,10.147837196568718,10.129585690819493,10.239094725314839,10.019162332329593,10.320284697508896,10.076670317634173,10.350492880613363,10.101286613742129
8325,10.073260073260073,10.457158499863127,10.164835164835164,10.147837196568718,10.239094725314839,10.073911853271284,10.375034218450589,10.12936966694192,10.239471511147812,10.101286613742129
8335,10.129585690819493,10.61437191442677,10.202591713816389,10.215643274853802,10.307017543859649,10.046537092800438,10.347659457979743,10.131434830230011,10.377875136911282,10.449808008776742
8336,10.07483117357182,10.367031551835158,10.184340208067166,10.259529602595297,10.30008110300081,10.019162332329593,10.347659457979743,10.350492880613363,10.542168674698795,10.27044430135222
8337,10.093082679321045,10.596933187294633,10.257346231064062,10.167944505293903,10.350492880613363,10.046537092800438,10.402408978921434,10.15881708652793,10.542168674698795,10.240963855421686
8415,10.113179992698065,10.43382756727073,10.149689667761956,10.45490822027135,10.395051875498803,10.019162332329593,10.347659457979743,10.2660406885759,10.359937402190923,10.323997803404723
8416,10.093082679321045,10.402408978921434,10.147837196568718,10.129585690819493,10.257346231064062,10.046537092800438,10.320284697508896,10.076670317634173,10.323110624315444,10.183410895154667
8425,10.129585690819493,10.402408978921434,10.166088702317941,10.129585690819493,10.166088702317941,10.019162332329593,10.347659457979743,10.131434830230011,10.405257393209201,10.046537092800438
8426,10.148611654282362,,10.168165819319515,,,10.073911853271284,10.320284697508896,10.403832991101986,10.8145106091718,
