,1991-2005_hotdays,1991-2005_colddays,2006-2020_hotdays,2006-2020_colddays,1991-2000_hotdays,1991-2000_colddays,2001-2010_hotdays,2001-2010_colddays,2011-2020_hotdays,2011-2020_colddays
3254,10.275597736813287,10.312100748311735,10.17388087310396,10.192378838327784,10.347659457979743,10.648781823159048,10.213581599123767,10.46002190580504,10.139664804469273,10.363128491620111
3255,10.166542381307481,10.415113099676859,10.188059156472521,10.188059156472521,10.273684210526316,10.56842105263158,10.195852534562212,10.253456221198157,10.23816041609636,10.375034218450589
3351,10.403358277057857,10.45811279430553,12.32876712328767,13.424657534246576,10.347659457979743,10.56665754174651,10.4518484710178,10.725696029210406,,
3355,10.24246544300929,10.26512576478586,10.327179674648145,10.436848839334674,10.104914411927112,10.491441192711209,10.240733664501338,10.546427206725259,10.150891632373114,10.617283950617283
3357,10.295728368017524,10.870755750273823,10.402193784277879,10.36563071297989,10.67843017949498,10.739275935503498,10.132359653126427,10.543130990415335,10.26344676180022,10.428100987925356
3360,10.129585690819493,10.202591713816389,10.226856933772412,10.428100987925356,10.046537092800438,10.402408978921434,10.076670317634173,10.43263964950712,10.274725274725276,10.357142857142858
3404,10.303030303030303,10.339761248852158,10.205213533000554,10.334627472730634,10.29290993703805,10.457158499863127,10.214903711973207,10.298632430923806,10.281923714759536,10.309563294637922
3405,10.202591713816389,10.239094725314839,10.452132527915065,10.342302764049057,10.183410895154667,10.457158499863127,10.076670317634173,10.569550930996714,10.200714874896892,10.750618641737695
3451,10.158962177964554,10.52439247213594,10.344827586206897,10.50709939148073,10.156036134683822,10.56665754174651,10.202962150301701,10.532089961601756,11.11111111111111,12.050078247261347
3452,10.18619934282585,10.350492880613363,10.226442658875092,10.463842220598977,10.18619934282585,10.651697699890471,10.15881708652793,10.350492880613363,10.246575342465754,10.712328767123287
3453,10.093082679321045,10.257346231064062,10.157682434910157,10.359369270260359,10.073911853271284,10.375034218450589,10.15881708652793,10.350492880613363,10.281146637265712,10.501653803748622
3455,10.220843219565614,10.239094725314839,10.452132527915065,10.342302764049057,10.183410895154667,10.457158499863127,10.076670317634173,10.569550930996714,10.200714874896892,10.750618641737695
3458,10.093082679321045,10.220843219565614,10.117087449688986,10.153677277716795,10.073911853271284,10.320284697508896,10.049288061336254,10.350492880613363,10.137362637362637,10.357142857142858
3459,10.07483117357182,10.184340208067166,10.111334185070268,10.166088702317941,10.019162332329593,10.347659457979743,10.049288061336254,10.350492880613363,10.183410895154667,10.320284697508896
3460,10.149689667761956,10.332238043081416,10.310786106032907,10.310786106032907,10.18619934282585,10.323110624315444,10.076670317634173,10.46002190580504,10.26344676180022,10.592755214050493
3462,10.202839756592292,10.263691683569979,,,10.073911853271284,10.402408978921434,10.72826938136257,10.96319498825372,,
5111,10.166088702317941,10.184340208067166,10.188059156472521,10.352382691254336,10.046537092800438,10.347659457979743,10.021905805038335,10.542168674698795,10.079430293070391,10.462886880306765
5112,10.319089382347453,10.468370964732227,10.286900717251793,10.419026047565119,10.217945089159354,10.38777243136145,10.117176336096028,10.46013146613318,10.124137931034483,10.427586206896551
5114,10.111334185070268,10.166088702317941,10.184340208067166,10.202591713816389,10.073911853271284,10.402408978921434,10.021905805038335,10.405257393209201,10.046537092800438,10.347659457979743
5119,10.146520146520146,10.183150183150182,10.327778795092474,10.327778795092474,10.068587105624143,10.397805212620028,10.300192784356927,10.492977141283394,10.260631001371742,10.342935528120714
5124,10.45811279430553,10.531118817302428,10.113594723341883,10.18688164162697,10.210785655625513,10.539282781275665,10.054794520547945,10.41095890410959,10.0715465052284,10.291689598238856
5158,10.439861288556306,10.476364300054755,10.220588235294118,10.275735294117647,10.210785655625513,10.539282781275665,10.219178082191782,10.602739726027398,10.232300884955752,10.3429203539823
5162,10.184340208067166,10.184340208067166,10.188059156472521,10.352382691254336,10.019162332329593,10.347659457979743,10.021905805038335,10.542168674698795,10.079430293070391,10.462886880306765
5170,10.117950608182824,10.191669738297088,10.196634907764038,10.379079667545104,10.128661374212976,10.402408978921434,10.223953261927946,10.35378123985719,10.124137931034483,10.427586206896551
5366,10.198357042676818,10.27850130234422,10.25219298245614,10.398391812865498,10.073911853271284,10.375034218450589,10.18020866266203,10.369901991779956,10.17274472168906,10.419522895530573
5378,10.202591713816389,10.220843219565614,10.23204823679883,10.23204823679883,10.046537092800438,10.457158499863127,10.213581599123767,10.596933187294633,10.227584315876063,10.419522895530573
5513,10.129585690819493,10.166088702317941,10.082191780821917,10.173515981735159,10.101286613742129,10.429783739392281,10.021905805038335,10.43263964950712,10.08495478213209,10.386407234858865
5554,10.137994480220792,10.229990800367986,10.310786106032907,10.310786106032907,10.101286613742129,10.429783739392281,10.144124168514413,10.227272727272727,10.318331503841932,10.455543358946214
5562,10.129585690819493,10.220843219565614,10.129585690819493,10.202591713816389,10.046537092800438,10.56665754174651,10.131434830230011,10.405257393209201,10.101286613742129,10.375034218450589
5566,10.202591713816389,10.275597736813287,10.18619934282585,10.204454180357795,10.073911853271284,10.484533260333972,10.104052573932092,10.487404162102957,10.131434830230011,10.487404162102957
5711,,,10.35497156305158,10.335359874485194,,,10.609171800136892,11.019849418206707,10.197910940076966,10.362836723474436
5754,10.303633648581384,10.50273768043803,10.35497156305158,10.335359874485194,10.375034218450589,10.703531344100739,10.405257393209201,10.733844468784227,10.197910940076966,10.362836723474436
5758,10.220843219565614,10.202591713816389,10.239531907112818,10.221247028707259,10.128661374212976,10.375034218450589,10.104052573932092,10.487404162102957,10.183914356299754,10.485863299478451
5762,10.166542381307481,10.415113099676859,10.133284644878584,10.188059156472521,10.273684210526316,10.56842105263158,10.195852534562212,10.253456221198157,10.210785655625513,10.375034218450589
5766,10.293849242562512,10.220843219565614,10.202962150301701,10.239531907112818,10.101286613742129,10.429783739392281,10.15881708652793,10.46002190580504,10.183914356299754,10.485863299478451
5911,10.94890510948905,11.313868613138686,10.358056265984654,10.460358056265985,10.94890510948905,11.313868613138686,10.684931506849315,11.141552511415526,10.408525754884547,10.408525754884547
5913,10.186976144422953,10.412637008381688,10.392902408111533,10.540768905787917,10.186976144422953,10.412637008381688,10.583941605839415,11.040145985401459,10.197910940076966,10.500274876305662
5914,10.312100748311735,10.5858733345501,10.25689105569098,10.406900431276954,10.29290993703805,10.703531344100739,10.136286201022147,10.590573537762635,10.200714874896892,10.640637888369536
5916,10.129585690819493,10.220843219565614,10.129585690819493,10.220843219565614,10.046537092800438,10.56665754174651,10.131434830230011,10.405257393209201,10.101286613742129,10.375034218450589
5962,10.166088702317941,10.312100748311735,10.131434830230011,10.167944505293903,10.046537092800438,10.347659457979743,10.052040536839222,10.462886880306765,10.101286613742129,10.320284697508896
5966,10.384263494967978,10.887465690759377,10.31891495601173,10.30058651026393,11.062431544359255,10.67907995618839,10.720887245841036,10.813308687615526,10.240963855421686,10.596933187294633
5974,10.166088702317941,10.348603759810185,10.129585690819493,10.166088702317941,10.29290993703805,10.676156583629894,10.131434830230011,10.350492880613363,10.046537092800438,10.429783739392281
5978,10.186891287180837,10.265859436693868,10.244620194960456,10.354975170130587,10.186976144422953,10.412637008381688,10.30230708035004,10.34208432776452,10.165745856353592,10.469613259668508
6411,10.15962441314554,10.347417840375586,10.20595807282089,10.2979036410445,10.257142857142858,10.342857142857143,10.1615995617639,10.572445905231444,10.215946843853821,10.49280177187154
6412,10.095976375046142,10.243632336655592,10.111334185070268,10.147837196568718,10.022271714922049,10.356347438752785,10.104052573932092,10.377875136911282,10.046537092800438,10.375034218450589
6413,10.095976375046142,10.243632336655592,10.111334185070268,10.147837196568718,10.022271714922049,10.356347438752785,10.104052573932092,10.377875136911282,10.046537092800438,10.375034218450589
6414,10.111334185070268,10.257346231064062,10.157682434910157,10.194352768610194,10.101286613742129,10.402408978921434,10.131434830230011,10.377875136911282,10.281146637265712,10.41896361631753
6432,10.147837196568718,10.239094725314839,10.129585690819493,10.184340208067166,10.101286613742129,10.594032302217355,10.131434830230011,10.46002190580504,10.128661374212976,10.347659457979743
6433,10.129585690819493,10.257346231064062,10.257346231064062,10.312100748311735,10.019162332329593,10.429783739392281,10.131434830230011,10.46002190580504,10.183410895154667,10.484533260333972
6438,10.077519379844961,10.243632336655592,10.111334185070268,10.166088702317941,10.022271714922049,10.328507795100222,10.131434830230011,10.350492880613363,10.019162332329593,10.375034218450589
6531,10.184340208067166,10.239094725314839,10.194352768610194,10.304363769710305,10.046537092800438,10.402408978921434,10.131434830230011,10.487404162102957,10.143329658213892,10.363836824696802
7111,10.093082679321045,10.184340208067166,10.191441441441441,10.266516516516516,10.019162332329593,10.320284697508896,10.142543859649123,10.361842105263158,10.239589275527667,10.410724472333143
7133,10.07483117357182,10.202591713816389,10.129585690819493,10.166088702317941,10.101286613742129,10.347659457979743,10.049288061336254,10.350492880613363,10.128661374212976,10.621407062688201
7134,10.078510133284645,10.169800985941208,10.254518627812615,10.365178900774621,10.073911853271284,10.375034218450589,10.206896551724139,10.317241379310344,10.52195526097763,10.411488539077602
7138,10.111334185070268,10.166088702317941,10.135135135135135,10.285285285285285,10.019162332329593,10.375034218450589,10.115131578947368,10.334429824561404,10.26811180832858,10.410724472333143
7140,10.093082679321045,10.202591713816389,10.111334185070268,10.166088702317941,10.046537092800438,10.347659457979743,10.104052573932092,10.487404162102957,10.046537092800438,10.320284697508896
7211,10.07483117357182,10.147837196568718,10.093082679321045,10.184340208067166,10.046537092800438,10.375034218450589,10.15881708652793,10.405257393209201,10.073911853271284,10.320284697508896
7232,10.444304064013476,10.591703516529796,10.258797244460995,10.444982312418544,10.415496911847276,10.443571027512633,10.143476810143477,10.41041041041041,10.390339792193204,10.362257792754844
7233,10.156971375807942,10.267774699907664,10.325786858089453,10.45462911835082,10.169963778211201,10.420730008358875,10.15881708652793,10.596933187294633,10.17466038258941,10.396451344607707
7311,10.174188440221695,10.55027711797308,10.308901480533724,10.327179674648145,10.128661374212976,10.867779906925815,10.2015503875969,10.2015503875969,10.260631001371742,10.425240054869684
7312,10.215605749486652,10.574948665297741,10.248447204968944,10.284983558640848,10.71863580998782,10.779537149817296,10.234741784037558,10.657276995305164,10.383561643835616,10.684931506849315
7314,10.239094725314839,10.312100748311735,10.177558118250046,10.305692842760388,10.347659457979743,10.457158499863127,10.049288061336254,10.350492880613363,10.145724498212813,10.420676381633214
7316,10.202591713816389,10.220843219565614,10.128676470588236,10.202205882352942,10.101286613742129,10.375034218450589,10.08495478213209,10.359002466429159,10.11888305225325,10.367708045341443
7318,10.24283366806646,10.31586635019171,10.281227173119065,10.445580715850985,10.347659457979743,10.56665754174651,10.307017543859649,10.553728070175438,10.268346111719605,10.487404162102957
